,1,1,0.5,0.5,0,0
20,17772,20450,25639,24405,29988,28877
10,20440,21390,28179,30406,32201,30558
5,28165,25179,31242,28341,33792,34053
2.5,24030,27762,33231,34613,33108,35021
1.25,29447,29651,31959,33545,40159,39361
0.312,31650,23621,30515,33668,42058,38976
