,1,1,0.5,0.5,0,0
20,27937,32661,45875,51616,42385,49835
10,39788,39931,55219,52698,71201,62968
5,41925,45305,78062,77848,87178,85212
2.5,49393,47390,73247,68903,80061,81343
1.25,52309,52470,72355,77426,89566,84519
0,58462,53966,74026,75469,77853,85521
