,1,1,0.5,0.5,0,0
20,43530,43530,58500,58500,61629,61629
10,44332,46905,64445,63732,72663,74102
5,52119,49963,70617,67032,76296,76106
2.5,50533,52446,76671,64440,75080,76262
1.25,48748,48781,73076,72317,77174,73945
0.312,46089,46089,72412,72412,71239,71239
